"Team","Date","Game_ID","Season","Opponent","Is_Home","TOI","OZS","NZS","DZS","OTF","OZF","NZF","DZF","Ice_F","Ice_A"
"VGK","2017-10-06","2017020015","20172018","DAL","0",14,12,1,0,11,14,1,1,1,0
"VGK","2017-10-07","2017020026","20172018","ARI","0",6.78,8,0,0,4,9,0,1,0,0
"VGK","2017-10-10","2017020045","20172018","ARI","1",5.02,6,0,0,2,6,0,0,0,0
"VGK","2017-10-13","2017020062","20172018","DET","1",4.17,2,0,0,2,3,0,0,0,0
"VGK","2017-10-15","2017020077","20172018","BOS","1",7.88,5,1,0,11,7,2,1,1,0
"VGK","2017-10-17","2017020090","20172018","BUF","1",9.13,6,1,0,8,6,2,0,0,0
"VGK","2017-10-21","2017020121","20172018","STL","1",4.03,3,0,1,2,4,0,1,0,0
"VGK","2017-10-24","2017020135","20172018","CHI","1",8.97,6,1,0,10,6,1,0,0,0
"VGK","2017-10-27","2017020149","20172018","COL","1",8.22,3,1,0,6,7,2,0,0,0
"VGK","2017-10-30","2017020170","20172018","NYI","0",8.67,5,1,0,11,5,1,0,0,0
"VGK","2017-10-31","2017020178","20172018","NYR","0",6,5,0,0,6,5,0,1,0,0
"VGK","2017-11-02","2017020186","20172018","BOS","0",6,5,0,0,7,5,0,0,0,0
"VGK","2017-11-04","2017020200","20172018","OTT","0",8.15,5,1,1,8,6,2,1,0,0
"VGK","2017-11-06","2017020218","20172018","TOR","0",4,5,0,0,3,5,0,0,0,0
"VGK","2017-11-07","2017020229","20172018","MTL","0",4,3,0,0,3,3,0,0,0,0
"VGK","2017-11-10","2017020248","20172018","WPG","1",5.88,3,1,0,5,5,1,0,0,0
"VGK","2017-11-14","2017020273","20172018","EDM","0",6.67,4,0,0,8,5,1,0,0,0
"VGK","2017-11-16","2017020287","20172018","VAN","0",0,0,0,0,0,0,0,0,0,0
"VGK","2017-11-19","2017020308","20172018","L.A","1",2,2,0,0,2,2,0,0,0,0
"VGK","2017-11-22","2017020332","20172018","ANA","0",4.02,5,0,1,4,5,0,1,0,0
"VGK","2017-11-24","2017020347","20172018","S.J","1",6.35,4,2,0,2,5,3,0,0,0
"VGK","2017-11-25","2017020355","20172018","ARI","0",7.57,6,0,0,5,6,0,0,0,0
"VGK","2017-11-28","2017020376","20172018","DAL","1",2.15,1,1,0,3,2,1,0,0,0
"VGK","2017-11-30","2017020384","20172018","MIN","0",6,4,1,0,7,4,1,0,0,0
"VGK","2017-12-01","2017020394","20172018","WPG","0",6.78,5,2,0,4,6,3,0,0,0
"VGK","2017-12-03","2017020411","20172018","ARI","1",0,0,0,0,0,0,0,0,0,0
"VGK","2017-12-05","2017020424","20172018","ANA","1",6.5,3,1,1,10,7,2,1,0,0
"VGK","2017-12-08","2017020441","20172018","NSH","0",6.4,3,1,0,7,5,2,0,0,0
"VGK","2017-12-09","2017020452","20172018","DAL","0",3.73,3,0,0,5,4,0,0,0,0
"VGK","2017-12-12","2017020474","20172018","CAR","1",4,3,0,0,4,3,0,0,0,0
"VGK","2017-12-14","2017020490","20172018","PIT","1",2.22,2,0,0,1,2,0,0,0,0
"VGK","2017-12-17","2017020510","20172018","FLA","1",8,6,0,0,11,7,1,0,0,0
"VGK","2017-12-19","2017020525","20172018","T.B","1",4.03,5,0,0,1,5,0,0,0,0
"VGK","2017-12-23","2017020555","20172018","WSH","1",4.02,2,1,0,4,3,1,0,0,0
"VGK","2017-12-27","2017020568","20172018","ANA","0",4,3,0,0,2,3,0,0,0,0
"VGK","2017-12-28","2017020574","20172018","L.A","0",8.67,7,1,0,5,8,1,0,0,0
"VGK","2017-12-31","2017020593","20172018","TOR","1",6,4,0,0,3,4,0,0,0,0
"VGK","2018-01-02","2017020613","20172018","NSH","1",1.68,0,0,0,2,1,0,0,0,0
"VGK","2018-01-04","2017020621","20172018","STL","0",2,1,1,0,3,1,1,0,0,0
"VGK","2018-01-05","2017020632","20172018","CHI","0",4,2,0,0,8,2,0,0,0,0
"VGK","2018-01-07","2017020651","20172018","NYR","1",2,1,0,0,3,1,0,0,0,0
"VGK","2018-01-13","2017020676","20172018","EDM","1",12,8,1,0,17,10,1,0,0,0
"VGK","2018-01-16","2017020691","20172018","NSH","0",8,6,0,0,6,8,0,0,0,0
"VGK","2018-01-18","2017020701","20172018","T.B","0",4,1,0,0,2,3,0,0,0,0
"VGK","2018-01-19","2017020705","20172018","FLA","0",4.65,5,1,0,3,6,1,0,0,0
"VGK","2018-01-21","2017020722","20172018","CAR","0",6.4,4,2,0,8,4,2,0,0,0
"VGK","2018-01-23","2017020741","20172018","CBJ","1",3.2,3,0,0,1,3,0,0,0,0
"VGK","2018-01-25","2017020758","20172018","NYI","1",3.33,3,0,0,4,3,1,0,0,0
"VGK","2018-01-30","2017020771","20172018","CGY","0",3.37,2,0,0,5,4,0,0,0,0
"VGK","2018-02-01","2017020783","20172018","WPG","0",2.63,2,1,0,0,3,2,0,0,0
"VGK","2018-02-02","2017020791","20172018","MIN","0",3.63,4,0,0,2,5,0,0,0,0
"VGK","2018-02-04","2017020805","20172018","WSH","0",0.62,1,0,0,0,2,0,0,0,0
"VGK","2018-02-06","2017020813","20172018","PIT","0",5.03,5,0,0,6,5,0,0,0,0
"VGK","2018-02-08","2017020834","20172018","S.J","0",7.02,6,0,0,7,6,0,1,0,0
"VGK","2018-02-11","2017020859","20172018","PHI","1",2,1,0,0,5,1,0,0,0,0
"VGK","2018-02-13","2017020874","20172018","CHI","1",10.82,7,4,1,6,8,4,1,0,0
"VGK","2018-02-15","2017020888","20172018","EDM","1",3.32,2,0,0,3,3,0,0,0,0
"VGK","2018-02-17","2017020900","20172018","MTL","1",3.17,4,0,0,4,4,0,0,0,0
"VGK","2018-02-19","2017020917","20172018","ANA","1",4,2,0,0,5,4,0,0,0,0
"VGK","2018-02-21","2017020929","20172018","CGY","1",2.3,1,0,0,4,4,0,0,0,0
"VGK","2018-02-23","2017020945","20172018","VAN","1",2.47,3,0,0,5,4,0,0,0,0
"VGK","2018-02-26","2017020968","20172018","L.A","0",6,4,0,0,5,5,1,0,0,0
"VGK","2018-02-27","2017020976","20172018","L.A","1",7.5,8,0,0,9,10,1,0,0,0
"VGK","2018-03-02","2017020998","20172018","OTT","1",3.92,2,1,0,3,5,2,0,0,0
"VGK","2018-03-04","2017021011","20172018","N.J","0",2.17,2,1,0,1,2,1,0,0,0
"VGK","2018-03-06","2017021023","20172018","CBJ","0",3.58,3,0,0,2,4,0,0,0,0
"VGK","2018-03-08","2017021036","20172018","DET","0",8,4,1,0,8,4,3,0,0,0
"VGK","2018-03-10","2017021049","20172018","BUF","0",4,2,1,0,2,2,1,0,0,0
"VGK","2018-03-12","2017021064","20172018","PHI","0",3.33,2,0,1,4,4,0,1,0,0
"VGK","2018-03-14","2017021081","20172018","N.J","1",8.6,7,3,0,7,10,3,0,0,0
"VGK","2018-03-16","2017021097","20172018","MIN","1",5.95,3,0,0,6,5,0,0,0,0
"VGK","2018-03-18","2017021109","20172018","CGY","1",3.03,2,0,0,7,2,0,0,0,0
"VGK","2018-03-20","2017021130","20172018","VAN","1",5.2,4,1,0,7,5,1,0,0,0
"VGK","2018-03-22","2017021145","20172018","S.J","0",2.07,3,0,0,0,3,0,0,0,0
"VGK","2018-03-24","2017021151","20172018","COL","0",2,1,0,0,4,1,2,0,0,0
"VGK","2018-03-26","2017021175","20172018","COL","1",4.68,4,1,0,2,5,1,0,0,0
"VGK","2018-03-28","2017021189","20172018","ARI","1",3.77,4,0,0,3,5,0,0,0,0
"VGK","2018-03-30","2017021205","20172018","STL","1",2,1,0,0,3,1,0,0,0,0
"VGK","2018-03-31","2017021217","20172018","S.J","1",8,6,3,0,7,6,3,0,0,0
"VGK","2018-04-03","2017021236","20172018","VAN","0",6.08,5,2,0,7,6,2,0,0,0
"VGK","2018-04-05","2017021249","20172018","EDM","0",2,1,0,0,3,1,0,0,0,0
"VGK","2018-04-07","2017021268","20172018","CGY","0",6,5,1,0,3,6,1,0,0,0
"VGK","Total","-","20172018","-","-",4.99,301,43,6,389,369,62,11,2,0
